"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
MG,ES,1097.1299,2099.461,"2 days 21:43:07.54717","3 days 32:12:53.757143","11 days 14:40:31.849056","11 days 29:11:58.617647",5.227275565266609,7.895360141992569,4.0181818181818182,3.8857142857142857,55,70
SP,MT,3035.151,10398.451,"1 day 31:35:18.5","2 days 15:36:35.497383","14 days 23:43:01.709924","14 days 19:10:50.015915",5.602686852216721,7.881364226341248,3.9621212121212121,4.0809399477806789,132,383
PR,GO,595.44,1735.6102,"3 days 23:16:49.428571","1 day 28:41:04.622222","8 days 11:18:46.928571","13 days 27:25:56.976744",0.0,7.825490087270737,4.4285714285714286,4.0000000000000000,14,45
SC,GO,608.5602,1328.65,"1 day 23:42:54.142857","2 days 17:09:00.333333","18 days 38:28:04.028572","11 days 16:28:04.416667",7.299195975065231,7.740186899900436,4.4857142857142857,4.1666666666666667,35,24
SC,PR,1446.0499,3427.5999,"2 days 14:21:31.571429","1 day 24:03:13.352113","7 days 21:14:16.714286","7 days 26:39:28.801419",1.0469901375472546,7.694888859987259,4.4415584415584416,4.3239436619718310,77,142
MG,PA,967.50006,1530.74,"2 days 11:08:44.192308","2 days 29:05:17.225807","23 days 16:04:46.807692","20 days 20:59:58.931034",9.655813872814178,7.615924626588821,3.9230769230769231,3.8064516129032258,26,31
SP,RS,17478.78,40735.08,"2 days 23:40:29.675294","1 day 33:11:05.677556","10 days 14:26:00.193624","13 days 14:21:13.159851",3.0682915821671486,7.545708119869232,4.1277330264672037,3.9642293529721199,869,1901
MG,PE,1171.1702,2224.16,"2 days 30:35:52.475","2 days 21:57:40.744681","15 days 07:37:15.657895","11 days 34:03:57.456521",8.301099389791489,7.514297217130661,3.8250000000000000,4.4680851063829787,40,47
SP,PB,2955.9595,9233.22,"3 days 12:56:06.759493","2 days 24:24:46.834197","17 days 18:42:22.142857","15 days 33:58:14.732985",8.70005190372467,7.412257790565491,3.8765432098765432,4.0051546391752577,81,194
SP,RR,327.46,1087.01,"2 days 32:25:51.363637","1 day 21:45:53.333334","31 days 15:56:49.636364","25 days 25:22:02.368421",9.420998394489288,7.264882326126099,3.9090909090909091,3.3636363636363636,11,22
